# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
              76   N   0000a6f8   00000313   0000a6fc   x28_t3     00000006
              77   N   0000a6fc   00000297   0000a700   x06_t1     00000000
              78   N   0000a700   00c28293   0000a704   x05_t0     0000a700
              79   N   0000a704   00000363   0000a708   x05_t0     0000a70c
              80   N   0000a708   0000a011   0000a70e   ---        --------
              83   N   0000a70e   07c0006f   0000a714   ---        --------
              86   N   0000a714   00001563   0000a718   x28_t3     00000007
              87   N   0000a718   00c0006f   0000a71c   ---        --------
              88   N   0000a71c   0000a009   0000a728   ---        --------
              91   N   0000a728   301023f3   0000a72c   x28_t3     00000008
              92   N   0000a72c   0043f393   0000a730   x07_t2     40001104
              93   N   0000a730   04038863   0000a734   x07_t2     00000004
              94   N   0000a734   00000001   0000a738   ---        --------
              95   N   0000a738   30127073   0000a73a   ---        --------
              96   N   0000a73a   00000001   0000a73e   ---        --------
              97   N   0000a73e   301023f3   0000a740   ---        --------
              98   N   0000a740   0043f393   0000a744   x07_t2     40001104
              99   N   0000a744   04038263   0000a748   x07_t2     00000004
             100   N   0000a748   00000297   0000a74c   ---        --------
             101   N   0000a74c   03428293   0000a750   x05_t0     0000a74c
             102   N   0000a750   ffe28293   0000a754   x05_t0     0000a780
             103   N   0000a754   34129073   0000a758   x05_t0     0000a77e
             104   N   0000a758   30127073   0000a75c   ---        --------
             105   N   0000a75c   301023f3   0000a760   ---        --------
             106   N   0000a760   0043f393   0000a764   x07_t2     40001104
             107   N   0000a764   00039e63   0000a768   x07_t2     00000004
             108   N   0000a768   000023b7   0000a784   ---        --------
             111   N   0000a784   01c01a63   0000a79c   ---        --------
             114   N   0000a79c   000e0593   0000a7a0   ---        --------
             115   N   0000a7a0   00000513   0000a7a4   x11_a1     00000008
             116   N   0000a7a4   00000073   0000a7a8   x10_a0     00000000
             117   E   0000a7a8   00200513   00000980   mstatus    00001800
             117   E   0000a7a8   00200513   00000980   mepc       0000a7a8
             117   E   0000a7a8   00200513   00000980   mcause     0000000b
             117   E   0000a7a8   00200513   00000980   mtval      00000000
             120   N   00000980   000047a1   00000984   x14_a4     0000000b
             121   N   00000984   04f70263   00000986   x15_a5     00000008
             122   N   00000986   000047a5   0000098a   ---        --------
             123   N   0000098a   02f70f63   0000098c   x15_a5     00000009
             124   N   0000098c   f0000837   00000990   ---        --------
             125   N   00000990   0000a897   00000994   x16_a6     f0000000
             126   N   00000994   cec88893   00000998   x17_a7     0000a994
             127   N   00000998   00088783   0000099c   x17_a7     0000a680
             129   N   0000099c   0000c791   000009a0   x15_a5     0000004d
             130   N   000009a0   00f82023   000009a2   ---        --------
             132   N   000009a2   00000885   000009a6   ---        --------
             133   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a681
             134   N   000009a8   000047ad   0000099c   ---        --------
             138   N   0000099c   0000c791   000009a0   x15_a5     00000069
             139   N   000009a0   00f82023   000009a2   ---        --------
             141   N   000009a2   00000885   000009a6   ---        --------
             142   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a682
             143   N   000009a8   000047ad   0000099c   ---        --------
             147   N   0000099c   0000c791   000009a0   x15_a5     00000073
             148   N   000009a0   00f82023   000009a2   ---        --------
             150   N   000009a2   00000885   000009a6   ---        --------
             151   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a683
             152   N   000009a8   000047ad   0000099c   ---        --------
             156   N   0000099c   0000c791   000009a0   x15_a5     00000061
             157   N   000009a0   00f82023   000009a2   ---        --------
             159   N   000009a2   00000885   000009a6   ---        --------
             160   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a684
             161   N   000009a8   000047ad   0000099c   ---        --------
             165   N   0000099c   0000c791   000009a0   x15_a5     0000006c
             166   N   000009a0   00f82023   000009a2   ---        --------
             168   N   000009a2   00000885   000009a6   ---        --------
             169   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a685
             170   N   000009a8   000047ad   0000099c   ---        --------
             174   N   0000099c   0000c791   000009a0   x15_a5     00000069
             175   N   000009a0   00f82023   000009a2   ---        --------
             177   N   000009a2   00000885   000009a6   ---        --------
             178   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a686
             179   N   000009a8   000047ad   0000099c   ---        --------
             183   N   0000099c   0000c791   000009a0   x15_a5     00000067
             184   N   000009a0   00f82023   000009a2   ---        --------
             186   N   000009a2   00000885   000009a6   ---        --------
             187   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a687
             188   N   000009a8   000047ad   0000099c   ---        --------
             192   N   0000099c   0000c791   000009a0   x15_a5     0000006e
             193   N   000009a0   00f82023   000009a2   ---        --------
             195   N   000009a2   00000885   000009a6   ---        --------
             196   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a688
             197   N   000009a8   000047ad   0000099c   ---        --------
             201   N   0000099c   0000c791   000009a0   x15_a5     00000021
             202   N   000009a0   00f82023   000009a2   ---        --------
             204   N   000009a2   00000885   000009a6   ---        --------
             205   N   000009a6   ff5ff06f   000009a8   x17_a7     0000a689
             206   N   000009a8   000047ad   0000099c   ---        --------
             210   N   0000099c   0000c791   000009a0   x15_a5     00000000
             211   N   000009a0   00f82023   000009ac   ---        --------
             214   N   000009ac   00f70e63   000009ae   x15_a5     0000000b
             215   N   000009ae   47ada717   000009ca   ---        --------
             219   N   000009ca   a7170013   0000a820   ---        --------
             222   N   0000a820   8d428293   0000a824   x05_t0     00000820
             223   N   0000a824   00008282   0000a828   x05_t0     000000f4
             224   N   0000a828   00000013   000000f4   ---        --------
             227   N   000000f4   0000006f   000000f8   ---        --------
             228   N   000000f8   ffffffff   000000f8   ---        --------
